Designation;Bore diameter(d);Outside diameter(D);Width(E);type;Image
   NK 10/12 TN ;10;17;12;Roulements à aiguilles avec bagues usinées;
   NK 10/16 TN ;10;17;16;Roulements à aiguilles avec bagues usinées;
   RNAO 10X17X10 TN ;10;17;10;Roulements à aiguilles avec bagues usinées;
   NK 12/12 ;12;19;12;Roulements à aiguilles avec bagues usinées;
   NK 12/16 ;12;19;16;Roulements à aiguilles avec bagues usinées;
   RNAO 12X22X12 TN ;12;22;12;Roulements à aiguilles avec bagues usinées;
   NK 14/16 ;14;22;16;Roulements à aiguilles avec bagues usinées;
   NK 14/20 ;14;22;20;Roulements à aiguilles avec bagues usinées;
   RNA 4900 ;14;22;13;Roulements à aiguilles avec bagues usinées;
   RNA 4900 RS ;14;22;13;Roulements à aiguilles avec bagues usinées;
   RNA 4900.2RS ;14;22;13;Roulements à aiguilles avec bagues usinées;
   NK 15/16 ;15;23;16;Roulements à aiguilles avec bagues usinées;
   NK 15/20 ;15;23;20;Roulements à aiguilles avec bagues usinées;
   RNAO 15X23X13 ;15;23;13;Roulements à aiguilles avec bagues usinées;
   NK 16/16 ;16;24;16;Roulements à aiguilles avec bagues usinées;
   NK 16/20 ;16;24;20;Roulements à aiguilles avec bagues usinées;
;;;;;
  RPNA 15/28 ;15;28;12;Roulements à aiguilles auto-aligneurs;
   RPNA 18/32 ;18;32;16;Roulements à aiguilles auto-aligneurs;
   RPNA 20/35 ;20;35;16;Roulements à aiguilles auto-aligneurs;
   RPNA 25/42 ;25;42;20;Roulements à aiguilles auto-aligneurs;
   RPNA 30/47 ;30;47;20;Roulements à aiguilles auto-aligneurs;
   RPNA 35/52 ;35;52;20;Roulements à aiguilles auto-aligneurs;
   RPNA 40/55 ;40;55;20;Roulements à aiguilles auto-aligneurs;
   RPNA 45/62 ;45;62;20;Roulements à aiguilles auto-aligneurs;
;;;;;
NKIA 5901 ;12;24;16;Roulements à aiguilles combinés;
   NKIB 5901 ;12;24;  17.5;Roulements à aiguilles combinés;
   NKIA 5902 ;15;28;18;Roulements à aiguilles combinés;
   NKIB 5902 ;15;28;20;Roulements à aiguilles combinés;
   NKIA 5903 ;17;30;18;Roulements à aiguilles combinés;
   NKIB 5903 ;17;30;20;Roulements à aiguilles combinés;
   NKIA 5904 ;20;37;23;Roulements à aiguilles combinés;
   NKIB 5904 ;20;37;25;Roulements à aiguilles combinés;
   NKIA 59/22 ;22;39;23;Roulements à aiguilles combinés;
   NKIB 59/22 ;22;39;25;Roulements à aiguilles combinés;
   NKIA 5905 ;25;42;23;Roulements à aiguilles combinés;
   NKIB 5905 ;25;42;25;Roulements à aiguilles combinés;
   NKIA 5906 ;30;47;23;Roulements à aiguilles combinés;
   NKIB 5906 ;30;47;25;Roulements à aiguilles combinés;
   NKIA 5907 ;35;55;27;Roulements à aiguilles combinés;
   NKIB 5907 ;35;55;30;Roulements à aiguilles combinés;
   NKIA 5908 ;40;62;30;Roulements à aiguilles combinés;
   NKIB 5908 ;40;62;34;Roulements à aiguilles combinés;
   NKIA 5909 ;45;68;30;Roulements à aiguilles combinés;
   NKIB 5909 ;45;68;34;Roulements à aiguilles combinés;
   NKIA 5910 ;50;72;30;Roulements à aiguilles combinés;
   NKIB 5910 ;50;72;34;Roulements à aiguilles combinés;
   NKIA 5911 ;55;80;34;Roulements à aiguilles combinés;
   NKIB 5911 ;55;80;38;Roulements à aiguilles combinés;
   NKIA 5912 ;60;85;34;Roulements à aiguilles combinés;
   NKIB 5912 ;60;85;38;Roulements à aiguilles combinés;
   NKIA 5913 ;65;90;34;Roulements à aiguilles combinés;
   NKIB 5913 ;65;90;38;Roulements à aiguilles combinés;
   NKIA 5914 ;70;100;40;Roulements à aiguilles combinés;
   NKIB 5914 ;70;100;45;Roulements à aiguilles combinés;
;;;;;
   IR 5X8X12 ;5;8;12;Composants des roulements à aiguilles;
   IR 5X8X16 ;5;8;16;Composants des roulements à aiguilles;
   IR 6X10X10 ;6;10;10;Composants des roulements à aiguilles;
   IR 6X10X10 IS1 ;6;10;10;Composants des roulements à aiguilles;
   IR 6X9X12 ;6;9;12;Composants des roulements à aiguilles;
